trade_id,symbol,direction,sub_strategy_name,vol_contracts,underlying_quantity,entry_price,exit_price,min_profit_tp_price,stop_loss_price,open_time,close_time,duration_seconds,notional_value_usdt,margin_used_usdt,fee_total_usdt,realized_pnl_usdt,realized_pnl_inr,roe_percentage,exit_reason,balance_after_trade_usdt
1,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11787,0.11785,0.11792,0.11785,2026-01-01 00:33:00 UTC,2026-01-01 00:33:59 UTC,60.0,2.3574,0.0314,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9996
2,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11778,0.1178,0.11773,0.1178,2026-01-01 00:41:00 UTC,2026-01-01 00:41:59 UTC,60.0,2.3556,0.0314,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9992
3,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11775,0.1177,0.1177,0.11777,2026-01-01 00:50:00 UTC,2026-01-01 00:50:59 UTC,60.0,2.355,0.0314,0.0,0.001,0.09,3.18,MIN_PROFIT_TP_HIT,100.0002
4,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11782,0.11787,0.11787,0.1178,2026-01-01 00:55:00 UTC,2026-01-01 00:55:59 UTC,60.0,2.3564,0.0314,0.0,0.001,0.09,3.18,MIN_PROFIT_TP_HIT,100.0012
5,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11788,0.11793,0.11793,0.11786,2026-01-01 01:01:00 UTC,2026-01-01 01:02:59 UTC,120.0,2.3576,0.0314,0.0,0.001,0.09,3.18,MIN_PROFIT_TP_HIT,100.0022
6,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11797,0.11802,0.11802,0.11795,2026-01-01 01:06:00 UTC,2026-01-01 01:06:59 UTC,60.0,2.3594,0.0315,0.0,0.001,0.09,3.18,MIN_PROFIT_TP_HIT,100.0032
7,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11838,0.11843,0.11843,0.11836,2026-01-01 01:14:00 UTC,2026-01-01 01:14:59 UTC,60.0,2.3676,0.0316,0.0,0.001,0.09,3.17,MIN_PROFIT_TP_HIT,100.0042
8,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11822,0.11817,0.11817,0.11824,2026-01-01 01:24:00 UTC,2026-01-01 01:25:59 UTC,120.0,2.3644,0.0315,0.0,0.001,0.09,3.17,MIN_PROFIT_TP_HIT,100.0052
9,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11814,0.11816,0.11809,0.11816,2026-01-01 01:32:00 UTC,2026-01-01 01:32:59 UTC,60.0,2.3628,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0048
10,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11817,0.11822,0.11822,0.11815,2026-01-01 01:39:00 UTC,2026-01-01 01:41:59 UTC,180.0,2.3634,0.0315,0.0,0.001,0.09,3.17,MIN_PROFIT_TP_HIT,100.0058
11,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11831,0.11829,0.11836,0.11829,2026-01-01 01:44:00 UTC,2026-01-01 01:44:59 UTC,60.0,2.3662,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0054
12,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11856,0.11854,0.11861,0.11854,2026-01-01 01:56:00 UTC,2026-01-01 01:56:59 UTC,60.0,2.3712,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.005
13,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11849,0.11847,0.11854,0.11847,2026-01-01 01:59:00 UTC,2026-01-01 01:59:59 UTC,60.0,2.3698,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0046
14,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11847,0.11849,0.11842,0.11849,2026-01-01 02:05:00 UTC,2026-01-01 02:05:59 UTC,60.0,2.3694,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0042
15,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11845,0.11843,0.1185,0.11843,2026-01-01 02:10:00 UTC,2026-01-01 02:10:59 UTC,60.0,2.369,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0038
16,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.1183,0.11832,0.11825,0.11832,2026-01-01 02:16:00 UTC,2026-01-01 02:16:59 UTC,60.0,2.366,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0034
17,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11842,0.11837,0.11837,0.11844,2026-01-01 02:19:00 UTC,2026-01-01 02:19:59 UTC,60.0,2.3684,0.0316,0.0,0.001,0.09,3.17,MIN_PROFIT_TP_HIT,100.0044
18,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11839,0.11837,0.11844,0.11837,2026-01-01 02:27:00 UTC,2026-01-01 02:27:59 UTC,60.0,2.3678,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.004
19,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11854,0.11852,0.11859,0.11852,2026-01-01 02:36:00 UTC,2026-01-01 02:36:59 UTC,60.0,2.3708,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0036
20,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11863,0.11858,0.11858,0.11865,2026-01-01 02:41:00 UTC,2026-01-01 02:41:59 UTC,60.0,2.3726,0.0316,0.0,0.001,0.09,3.16,MIN_PROFIT_TP_HIT,100.0046
21,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11855,0.1185,0.1185,0.11857,2026-01-01 02:48:00 UTC,2026-01-01 02:49:59 UTC,120.0,2.371,0.0316,0.0,0.001,0.09,3.16,MIN_PROFIT_TP_HIT,100.0056
22,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.1185,0.11845,0.11845,0.11852,2026-01-01 03:04:00 UTC,2026-01-01 03:04:59 UTC,60.0,2.37,0.0316,0.0,0.001,0.09,3.16,MIN_PROFIT_TP_HIT,100.0066
