trade_id,type,entry_time,exit_time,entry_price,exit_price,tp_price,sl_price,position_size,position_notional_usd,committed_margin_usd,leverage,tp_ticks,sl_ticks,bars_held,confidence,exit_reason,gross_return_pct,net_return_pct,net_margin_ret_pct,pnl_usd,equity_after
tr_9b37982bd6,LONG,1783059660000,1783059660000,0.07922,0.07885,0.07993,0.07887,5.8066,0.46,0.023,20.0x,71,35,0,0.4415,SL_HIT,-0.4670537742994309,-0.4670537742994309,-9.341075485988618,-0.002148,0.227852
tr_3c9627b509,LONG,1783135140000,1783135140000,0.08276,0.0826399999999999,0.08296,0.08266,5.5063,0.4557,0.0228,20.0x,20,10,0,0.4058,SL_HIT,-0.1449975833736212,-0.1449975833736212,-2.899951667472426,-0.000661,0.227191
tr_a4f8cd3476,LONG,1783355400000,1783355820000,0.08616,0.08694,0.08694,0.08577,5.2737,0.4544,0.0227,20.0x,78,39,7,0.4049,TP_HIT,0.9052924791086384,0.9052924791086384,18.10584958217277,0.004113,0.231304
tr_a2dc3d1b5d,LONG,1783356420000,1783356780000,0.08876,0.08806,0.09012,0.08808,5.2119,0.4626,0.0231,20.0x,136,68,6,0.5263,SL_HIT,-0.7886435331230353,-0.7886435331230353,-15.772870662460706,-0.003648,0.227656
tr_48962d86a1,LONG,1783365900000,1783366560000,0.08853,0.08814,0.08927,0.08816,5.143,0.4553,0.0228,20.0x,74,37,11,0.4825,SL_HIT,-0.440528634361235,-0.440528634361235,-8.810572687224703,-0.002006,0.22565
tr_30c38e91df,LONG,1784458560000,1784459460000,0.08038,0.08058,0.08058,0.08028,5.6146,0.4513,0.0226,20.0x,20,10,15,0.42,TP_HIT,0.2488181139587033,0.2488181139587033,4.976362279174065,0.001123,0.226773
tr_89aa702fea,LONG,1784730780000,1784730840000,0.08064,0.08054,0.08081,0.08056,5.6243,0.4535,0.0227,20.0x,17,8,1,0.4166,SL_HIT,-0.12400793650794,-0.12400793650794,-2.4801587301588013,-0.000562,0.226211
tr_9eb0c2cabc,LONG,1784795100000,1784795400000,0.08489,0.08599,0.08599,0.08434,5.3295,0.4524,0.0226,20.0x,110,55,5,0.4377,TP_HIT,1.2957945576628622,1.2957945576628622,25.91589115325724,0.005862,0.232073
tr_7cac06c12b,LONG,1786061400000,1786061520000,0.07605,0.07594,0.07623,0.07596,6.1032,0.4641,0.0232,20.0x,18,9,2,0.4062,SL_HIT,-0.1446416831032384,-0.1446416831032384,-2.892833662064769,-0.000671,0.231402
tr_ead2318e93,LONG,1786118040000,1786118940000,0.07655,0.0765499999999999,0.07673,0.07646,6.0458,0.4628,0.0231,20.0x,18,9,15,0.4186,TIME_EXPIRY,-1.8129050042866697e-14,-1.8129050042866697e-14,-3.625810008573339e-13,-0.0,0.231402
